Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0331873354586547,4.5515291919207E-05,0.124950281684195,0,0,0,1.6951386828986,0.00423997368952043,-7.89633568070618E-08,-1.36518198251751E-06,0.00233349096626351,3.70818821838119E-06,0.0025062759414841,0,0,0,0,0,0,package://pandaman/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pandaman/meshes/base_link.STL,,_身体-1;_上肢-1/达妙4310 V1.1-1;_上肢-1/达妙4310_10mm衬垫-1;镜向_上肢-2/镜向达妙4310 V1.1-1;镜向_上肢-2/镜向达妙4310_10mm衬垫-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_leg_roll_link,0.0333363989826576,1.98445291439142E-05,0.0694403731962496,0,0,0,0.276219816670232,0.000137242406253558,-5.33070682304725E-12,-4.14267025190744E-06,0.000102938223061032,2.04803229333353E-08,0.000122616244342939,0,0,0,0,0,0,package://pandaman/meshes/left_leg_roll_link.STL,0.647058823529412,0.647058823529412,0.647058823529412,1,0,0,0,0,0,0,package://pandaman/meshes/left_leg_roll_link.STL,,镜向关节2加工组合-2/镜向关节1输出_用于加工-1;镜向关节2加工组合-2/镜向关节2电机底座 用于加工-1;镜向关节2加工组合-2/镜向达妙4310 V1.1-1;镜向关节2加工组合-2/镜向关节2三角板-1;镜向关节2加工组合-2/镜向关节2三角板-2;镜向关节2加工组合-2/镜向航向限位块-1,left_leg_roll_joint,A_left_leg_roll_joint,left_leg_roll_joint,revolute,-0.0797,0.085025,0.030367,-1.5708,1.5696,-1.5708,base_link,0,0,1,100,100,-3.14,3.14,,,,,,,,
left_leg_yaw_link,-0.000148345787121092,0.021821016279334,0.079949967914775,0,0,0,0.445992700592978,0.000299236615909054,-8.18318942827607E-07,-4.34970198205384E-07,0.000510466622382136,-1.65882799450536E-06,0.000316222305565398,0,0,0,0,0,0,package://pandaman/meshes/left_leg_yaw_link.STL,0.647058823529412,0.647058823529412,0.647058823529412,1,0,0,0,0,0,0,package://pandaman/meshes/left_leg_yaw_link.STL,,镜向关节2加工组合-2/镜向关节2电机衬垫-1;镜向关节2加工组合-2/镜向关节2输出-1;镜向关节2加工组合-2/镜向大腿电机座_加工-1;镜向_左侧腿-2/镜向T-Motor电机AK80-8-1,left_leg_yaw_joint,A_left_leg_yaw_joint,left_leg_yaw_joint,revolute,0.027427296577149,-4.90357519718487E-05,0.0769000000009037,0,-1.5707963267949,0,left_leg_roll_link,0,0,-1,100,100,-3.14,3.14,,,,,,,,
left_leg_pitch_link,0.0022860653774763,0.045860679162005,0.0269764283563071,0,0,0,0.680082065498437,0.0020104742461665,-9.45996427691288E-05,2.68516382704327E-06,0.000446824172374397,2.32275789158589E-06,0.00236303231435409,0,0,0,0,0,0,package://pandaman/meshes/left_leg_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pandaman/meshes/left_leg_pitch_link.STL,,镜向_左侧腿-2/镜向_左侧大腿-1;镜向_左侧腿-2/镜向大腿电机衬垫-1;镜向_左侧腿-2/镜向大腿电机衬垫-2,left_leg_pitch_joint,A_left_leg_pitch_joint,left_leg_pitch_joint,revolute,4.51043293177786E-05,-0.00869988308054018,0.0937500000000008,1.57201220027834,0,0,left_leg_yaw_link,-0.00518440566846097,-0.00121585684358836,-0.999985821714488,100,100,-3.14,3.14,,,,,,,,
left_knee_link,0.0176579706154576,0.093922554620171,0.00356711814229166,0,0,0,0.303477437049499,0.000944324338901921,-6.74247615085532E-05,-1.33712315835905E-08,6.0161823451123E-05,1.41789480676348E-08,0.00097999877247639,0,0,0,0,0,0,package://pandaman/meshes/left_knee_link.STL,0,0,0,1,0,0,0,0,0,0,package://pandaman/meshes/left_knee_link.STL,,镜向_左侧腿-2/镜向_左侧小腿-1/镜向小腿外侧板-1;镜向_左侧腿-2/镜向_左侧小腿-1/镜向小腿内侧板-1;镜向_左侧腿-2/镜向_左侧小腿-1/镜向小腿上连接-1;镜向_左侧腿-2/镜向_左侧小腿-1/镜向关节2电机衬垫-1;镜向_左侧腿-2/镜向_左侧小腿-1/镜向小腿下连接-1;镜向_左侧腿-2/镜向_左侧小腿-1/镜向销轴M5有效长度22-1;镜向_左侧腿-2/镜向_左侧小腿-1/镜向轴套内5厚3.5-1;镜向_左侧腿-2/镜向_左侧小腿-1/镜向轴套内5厚3.5-2;镜向_左侧腿-2/镜向_左侧小腿-1/镜向销轴M5有效长度22-2;镜向_左侧腿-2/镜向_左侧小腿-1/镜向轴套内5厚2.5-1;镜向_左侧腿-2/镜向_左侧小腿-1/镜向轴套内5厚2.5-2;镜向_左侧腿-2/镜向_左侧小腿-1/镜向膝关节支撑-1;镜向_左侧腿-2/镜向_左侧小腿-1/镜向小腿轴套-1;镜向_左侧腿-2/镜向_左侧小腿-1/镜向小腿轴套-2;镜向_左侧腿-2/镜向_左侧小腿-1/达妙4340 V1.1-2,left_knee_joint,A_left_knee_joint,left_knee_joint,revolute,-0.00413127816477701,0.249167408782082,0.0116186310550433,-0.000928040634929882,0.00524360434289887,0.0551867548928349,left_leg_pitch_link,0,0,-1,100,100,-3.14,3.14,,,,,,,,
left_ankle_link,-0.0033296,0.0097818,-0.00070663,0,0,0,0.025549,1.4251E-06,-6.9487E-08,1.7004E-08,2.1012E-05,1.5409E-09,2.2096E-05,0,0,0,0,0,0,package://pandaman/meshes/left_ankle_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://pandaman/meshes/left_ankle_link.STL,,镜向_左侧腿-2/镜向_左侧小腿-1/镜向足部装配体-1,left_ankle_joint,A_left_ankle_joint,left_ankle_joint,revolute,0.0265410421692391,0.268017521409716,0.000600000000003237,0,0,-0.110364793137804,left_knee_link,0,0,1,100,100,-3.14,3.14,,,,,,,,
right_leg_roll_link,0.0333363069717779,-9.44715715036556E-05,0.0694403746452683,0,0,0,0.27621983798243,0.000137242406795112,6.03045078840931E-12,-4.14267046918622E-06,0.000102938214272565,-2.0675073072405E-08,0.000122616253712296,0,0,0,0,0,0,package://pandaman/meshes/right_leg_roll_link.STL,0.647058823529412,0.647058823529412,0.647058823529412,1,0,0,0,0,0,0,package://pandaman/meshes/right_leg_roll_link.STL,,关节2加工组合-1/关节1输出_用于加工-1;关节2加工组合-1/关节2电机底座 用于加工-1;关节2加工组合-1/达妙4310 V1.1-1;关节2加工组合-1/关节2三角板-1;关节2加工组合-1/关节2三角板-2;关节2加工组合-1/航向限位块-1,right_leg_roll_joint,A_right_leg_roll_joint,right_leg_roll_joint,revolute,-0.0797,-0.084975,0.030367,1.5708,1.5696,1.5708,base_link,0,0,1,100,100,-3.14,3.14,,,,,,,,
right_leg_yaw_link,-0.00014834578711901,-0.0218210162793304,0.079949967914775,0,0,0,0.445992700592978,0.000299236615909054,8.18318942827644E-07,-4.34970198205319E-07,0.000510466622382136,1.65882799450531E-06,0.000316222305565398,0,0,0,0,0,0,package://pandaman/meshes/right_leg_yaw_link.STL,0.647058823529412,0.647058823529412,0.647058823529412,1,0,0,0,0,0,0,package://pandaman/meshes/right_leg_yaw_link.STL,,关节2加工组合-1/关节2输出-1;关节2加工组合-1/关节2电机衬垫-1;关节2加工组合-1/大腿电机座_加工-1;_左侧腿-1/T-Motor电机AK80-8-1,right_leg_yaw_joint,A_right_leg_yaw_joint,right_leg_yaw_joint,revolute,0.0274272058402329,-2.55911512636667E-05,0.0769000000009016,0,-1.5707963267949,0,right_leg_roll_link,0,0,-1,100,100,-3.14,3.14,,,,,,,,
right_leg_pitch_link,0.00218651510857458,0.0458463075316608,-0.0270436580586413,0,0,0,0.680082077608643,0.0020098067206282,-9.40337794439779E-05,-2.54932916813403E-07,0.000447471739095887,7.19016504477339E-07,0.00236305232156592,0,0,0,0,0,0,package://pandaman/meshes/right_leg_pitch_link.STL,0.203921568627451,0.203921568627451,0.203921568627451,1,0,0,0,0,0,0,package://pandaman/meshes/right_leg_pitch_link.STL,,_左侧腿-1/_左侧大腿-1/大腿上连接-1;_左侧腿-1/大腿电机衬垫-1;_左侧腿-1/_左侧大腿-1;_左侧腿-1/大腿电机衬垫-2,right_leg_pitch_joint,A_right_leg_pitch_joint,right_leg_pitch_joint,revolute,4.5104329319208E-05,0.00869988308054358,0.0937500000000019,1.5707963267949,0,-0.00518442889321215,right_leg_yaw_link,0,0,1,100,100,-3.14,3.14,,,,,,,,
right_knee_link,0.00831639289324045,0.0952055096005982,-0.00356711636080762,0,0,0,0.303477410305947,0.000948962200890443,2.06320227950154E-05,1.47109898335168E-08,5.55239025956061E-05,-1.28044539433352E-08,0.000979998714508455,0,0,0,0,0,0,package://pandaman/meshes/right_knee_link.STL,0,0,0,1,0,0,0,0,0,0,package://pandaman/meshes/right_knee_link.STL,,_左侧腿-1/_左侧小腿-1/小腿外侧板-1;_左侧腿-1/_左侧小腿-1/小腿内侧板-1;_左侧腿-1/_左侧小腿-1/小腿上连接-1;_左侧腿-1/_左侧小腿-1/关节2电机衬垫-1;_左侧腿-1/_左侧小腿-1/小腿下连接-1;_左侧腿-1/_左侧小腿-1/销轴M5有效长度22-1;_左侧腿-1/_左侧小腿-1/轴套内5厚3.5-3;_左侧腿-1/_左侧小腿-1/轴套内5厚3.5-2;_左侧腿-1/_左侧小腿-1/销轴M5有效长度22-2;_左侧腿-1/_左侧小腿-1/轴套内5厚2.5-1;_左侧腿-1/_左侧小腿-1/轴套内5厚2.5-2;_左侧腿-1/_左侧小腿-1/膝关节支撑-1;_左侧腿-1/_左侧小腿-1/小腿轴套-1;_左侧腿-1/_左侧小腿-1/小腿轴套-2;_左侧腿-1/_左侧小腿-1/达妙4340 V1.1-1,right_knee_joint,A_right_knee_joint,right_knee_joint,revolute,-0.00419302894285712,0.249153097822061,-0.0119,0,0,-0.0435131164049318,right_leg_pitch_link,0,0,1,100,100,-3.14,3.14,,,,,,,,
